fearandgreed,Date
61,2023-03-24
57,2023-03-23
62,2023-03-22
68,2023-03-21
66,2023-03-20
63,2023-03-19
64,2023-03-18
51,2023-03-17
52,2023-03-16
50,2023-03-15
56,2023-03-14
49,2023-03-13
33,2023-03-12
33,2023-03-11
34,2023-03-10
44,2023-03-09
50,2023-03-08
49,2023-03-07
48,2023-03-06
47,2023-03-05
50,2023-03-04
50,2023-03-03
51,2023-03-02
50,2023-03-01
53,2023-02-28
50,2023-02-27
51,2023-02-26
52,2023-02-25
53,2023-02-24
56,2023-02-23
59,2023-02-22
60,2023-02-21
58,2023-02-20
60,2023-02-19
60,2023-02-18
61,2023-02-17
62,2023-02-16
53,2023-02-15
50,2023-02-14
48,2023-02-13
50,2023-02-12
49,2023-02-11
48,2023-02-10
55,2023-02-09
58,2023-02-08
54,2023-02-07
56,2023-02-06
58,2023-02-05
58,2023-02-04
60,2023-02-03
60,2023-02-02
56,2023-02-01
51,2023-01-31
61,2023-01-30
55,2023-01-29
52,2023-01-28
55,2023-01-27
54,2023-01-26
51,2023-01-25
52,2023-01-24
50,2023-01-23
53,2023-01-22
53,2023-01-21
51,2023-01-20
45,2023-01-19
52,2023-01-18
51,2023-01-17
45,2023-01-16
52,2023-01-15
46,2023-01-14
31,2023-01-13
30,2023-01-12
26,2023-01-11
26,2023-01-10
25,2023-01-09
25,2023-01-08
25,2023-01-07
26,2023-01-06
29,2023-01-05
29,2023-01-04
26,2023-01-03
27,2023-01-02
26,2023-01-01
25,2022-12-31
28,2022-12-30
28,2022-12-29
28,2022-12-28
27,2022-12-27
28,2022-12-26
29,2022-12-25
29,2022-12-24
27,2022-12-23
28,2022-12-22
26,2022-12-21
29,2022-12-20
29,2022-12-19
26,2022-12-18
28,2022-12-17
29,2022-12-16
31,2022-12-15
30,2022-12-14
27,2022-12-13
27,2022-12-12
26,2022-12-11
27,2022-12-10
26,2022-12-09
25,2022-12-08
29,2022-12-07
25,2022-12-06
26,2022-12-05
26,2022-12-04
27,2022-12-03
27,2022-12-02
27,2022-12-01
29,2022-11-30
26,2022-11-29
28,2022-11-28
26,2022-11-27
22,2022-11-26
20,2022-11-25
20,2022-11-24
22,2022-11-23
22,2022-11-22
21,2022-11-21
24,2022-11-20
23,2022-11-19
23,2022-11-18
20,2022-11-17
23,2022-11-16
22,2022-11-15
24,2022-11-14
22,2022-11-13
21,2022-11-12
25,2022-11-11
22,2022-11-10
29,2022-11-09
31,2022-11-08
33,2022-11-07
40,2022-11-06
38,2022-11-05
30,2022-11-04
30,2022-11-03
30,2022-11-02
30,2022-11-01
31,2022-10-31
34,2022-10-30
34,2022-10-29
30,2022-10-28
32,2022-10-27
33,2022-10-26
20,2022-10-25
22,2022-10-24
23,2022-10-23
20,2022-10-22
23,2022-10-21
23,2022-10-20
23,2022-10-19
22,2022-10-18
20,2022-10-17
24,2022-10-16
24,2022-10-15
24,2022-10-14
20,2022-10-13
20,2022-10-12
24,2022-10-11
22,2022-10-10
22,2022-10-09
24,2022-10-08
23,2022-10-07
26,2022-10-06
25,2022-10-05
20,2022-10-04
24,2022-10-03
24,2022-10-02
20,2022-10-01
21,2022-09-30
22,2022-09-29
20,2022-09-28
20,2022-09-27
21,2022-09-26
24,2022-09-25
24,2022-09-24
20,2022-09-23
22,2022-09-22
23,2022-09-21
23,2022-09-20
21,2022-09-19
27,2022-09-18
22,2022-09-17
20,2022-09-16
28,2022-09-15
27,2022-09-14
34,2022-09-13
25,2022-09-12
26,2022-09-11
28,2022-09-10
22,2022-09-09
20,2022-09-08
24,2022-09-07
22,2022-09-06
23,2022-09-05
20,2022-09-04
21,2022-09-03
25,2022-09-02
20,2022-09-01
23,2022-08-31
27,2022-08-30
24,2022-08-29
28,2022-08-28
28,2022-08-27
27,2022-08-26
25,2022-08-25
25,2022-08-24
28,2022-08-23
29,2022-08-22
27,2022-08-21
29,2022-08-20
33,2022-08-19
30,2022-08-18
41,2022-08-17
44,2022-08-16
45,2022-08-15
47,2022-08-14
46,2022-08-13
42,2022-08-12
41,2022-08-11
31,2022-08-10
42,2022-08-09
30,2022-08-08
30,2022-08-07
31,2022-08-06
31,2022-08-05
30,2022-08-04
34,2022-08-03
31,2022-08-02
33,2022-08-01
39,2022-07-31
42,2022-07-30
39,2022-07-29
32,2022-07-28
28,2022-07-27
26,2022-07-26
30,2022-07-25
30,2022-07-24
31,2022-07-23
33,2022-07-22
34,2022-07-21
31,2022-07-20
30,2022-07-19
20,2022-07-18
24,2022-07-17
21,2022-07-16
15,2022-07-15
18,2022-07-14
15,2022-07-13
16,2022-07-12
22,2022-07-11
24,2022-07-10
24,2022-07-09
20,2022-07-08
18,2022-07-07
18,2022-07-06
19,2022-07-05
14,2022-07-04
11,2022-07-03
14,2022-07-02
11,2022-07-01
11,2022-06-30
13,2022-06-29
10,2022-06-28
12,2022-06-27
14,2022-06-26
14,2022-06-25
11,2022-06-24
11,2022-06-23
11,2022-06-22
9,2022-06-21
9,2022-06-20
6,2022-06-19
6,2022-06-18
9,2022-06-17
7,2022-06-16
7,2022-06-15
8,2022-06-14
11,2022-06-13
14,2022-06-12
12,2022-06-11
13,2022-06-10
11,2022-06-09
17,2022-06-08
15,2022-06-07
13,2022-06-06
10,2022-06-05
14,2022-06-04
10,2022-06-03
13,2022-06-02
17,2022-06-01
16,2022-05-31
10,2022-05-30
14,2022-05-29
13,2022-05-28
12,2022-05-27
12,2022-05-26
11,2022-05-25
12,2022-05-24
10,2022-05-23
14,2022-05-22
13,2022-05-21
13,2022-05-20
13,2022-05-19
12,2022-05-18
8,2022-05-17
14,2022-05-16
10,2022-05-15
9,2022-05-14
10,2022-05-13
12,2022-05-12
12,2022-05-11
10,2022-05-10
11,2022-05-09
18,2022-05-08
23,2022-05-07
22,2022-05-06
27,2022-05-05
21,2022-05-04
27,2022-05-03
28,2022-05-02
22,2022-05-01
20,2022-04-30
23,2022-04-29
24,2022-04-28
21,2022-04-27
27,2022-04-26
23,2022-04-25
24,2022-04-24
24,2022-04-23
26,2022-04-22
27,2022-04-21
27,2022-04-20
27,2022-04-19
24,2022-04-18
28,2022-04-17
28,2022-04-16
22,2022-04-15
28,2022-04-14
25,2022-04-13
20,2022-04-12
32,2022-04-11
34,2022-04-10
30,2022-04-09
37,2022-04-08
34,2022-04-07
48,2022-04-06
53,2022-04-05
52,2022-04-04
48,2022-04-03
52,2022-04-02
50,2022-04-01
52,2022-03-31
55,2022-03-30
56,2022-03-29
60,2022-03-28
49,2022-03-27
51,2022-03-26
47,2022-03-25
40,2022-03-24
31,2022-03-23
26,2022-03-22
30,2022-03-21
31,2022-03-20
28,2022-03-19
25,2022-03-18
27,2022-03-17
24,2022-03-16
21,2022-03-15
23,2022-03-14
21,2022-03-13
22,2022-03-12
22,2022-03-11
28,2022-03-10
22,2022-03-09
21,2022-03-08
23,2022-03-07
22,2022-03-06
22,2022-03-05
33,2022-03-04
39,2022-03-03
52,2022-03-02
51,2022-03-01
20,2022-02-28
26,2022-02-27
26,2022-02-26
27,2022-02-25
23,2022-02-24
25,2022-02-23
20,2022-02-22
25,2022-02-21
27,2022-02-20
25,2022-02-19
30,2022-02-18
52,2022-02-17
51,2022-02-16
46,2022-02-15
46,2022-02-14
44,2022-02-13
44,2022-02-12
50,2022-02-11
50,2022-02-10
54,2022-02-09
48,2022-02-08
45,2022-02-07
37,2022-02-06
33,2022-02-05
20,2022-02-04
20,2022-02-03
28,2022-02-02
26,2022-02-01
20,2022-01-31
29,2022-01-30
24,2022-01-29
24,2022-01-28
20,2022-01-27
23,2022-01-26
12,2022-01-25
13,2022-01-24
11,2022-01-23
13,2022-01-22
19,2022-01-21
24,2022-01-20
24,2022-01-19
24,2022-01-18
22,2022-01-17
21,2022-01-16
23,2022-01-15
21,2022-01-14
21,2022-01-13
22,2022-01-12
21,2022-01-11
23,2022-01-10
23,2022-01-09
10,2022-01-08
18,2022-01-07
15,2022-01-06
24,2022-01-05
23,2022-01-04
29,2022-01-03
29,2022-01-02
21,2022-01-01
28,2021-12-31
22,2021-12-30
27,2021-12-29
41,2021-12-28
40,2021-12-27
37,2021-12-26
39,2021-12-25
41,2021-12-24
34,2021-12-23
45,2021-12-22
27,2021-12-21
25,2021-12-20
29,2021-12-19
24,2021-12-18
23,2021-12-17
29,2021-12-16
28,2021-12-15
21,2021-12-14
28,2021-12-13
27,2021-12-12
16,2021-12-11
24,2021-12-10
29,2021-12-09
28,2021-12-08
25,2021-12-07
16,2021-12-06
18,2021-12-05
25,2021-12-04
31,2021-12-03
32,2021-12-02
34,2021-12-01
40,2021-11-30
33,2021-11-29
27,2021-11-28
21,2021-11-27
47,2021-11-26
32,2021-11-25
42,2021-11-24
33,2021-11-23
50,2021-11-22
49,2021-11-21
43,2021-11-20
34,2021-11-19
54,2021-11-18
52,2021-11-17
71,2021-11-16
72,2021-11-15
74,2021-11-14
72,2021-11-13
74,2021-11-12
77,2021-11-11
75,2021-11-10
84,2021-11-09
75,2021-11-08
73,2021-11-07
71,2021-11-06
73,2021-11-05
73,2021-11-04
76,2021-11-03
73,2021-11-02
74,2021-11-01
74,2021-10-31
73,2021-10-30
70,2021-10-29
66,2021-10-28
73,2021-10-27
76,2021-10-26
72,2021-10-25
73,2021-10-24
74,2021-10-23
75,2021-10-22
84,2021-10-21
82,2021-10-20
75,2021-10-19
78,2021-10-18
79,2021-10-17
78,2021-10-16
71,2021-10-15
70,2021-10-14
70,2021-10-13
78,2021-10-12
71,2021-10-11
71,2021-10-10
72,2021-10-09
74,2021-10-08
76,2021-10-07
68,2021-10-06
59,2021-10-05
54,2021-10-04
49,2021-10-03
54,2021-10-02
27,2021-10-01
20,2021-09-30
24,2021-09-29
25,2021-09-28
26,2021-09-27
27,2021-09-26
28,2021-09-25
33,2021-09-24
27,2021-09-23
21,2021-09-22
27,2021-09-21
50,2021-09-20
53,2021-09-19
50,2021-09-18
48,2021-09-17
53,2021-09-16
49,2021-09-15
30,2021-09-14
44,2021-09-13
32,2021-09-12
31,2021-09-11
46,2021-09-10
45,2021-09-09
47,2021-09-08
79,2021-09-07
79,2021-09-06
73,2021-09-05
72,2021-09-04
74,2021-09-03
74,2021-09-02
71,2021-09-01
73,2021-08-31
73,2021-08-30
72,2021-08-29
78,2021-08-28
71,2021-08-27
75,2021-08-26
73,2021-08-25
79,2021-08-24
79,2021-08-23
76,2021-08-22
78,2021-08-21
70,2021-08-20
70,2021-08-19
73,2021-08-18
72,2021-08-17
72,2021-08-16
71,2021-08-15
76,2021-08-14
70,2021-08-13
70,2021-08-12
70,2021-08-11
71,2021-08-10
65,2021-08-09
74,2021-08-08
69,2021-08-07
52,2021-08-06
50,2021-08-05
42,2021-08-04
48,2021-08-03
48,2021-08-02
60,2021-08-01
60,2021-07-31
53,2021-07-30
50,2021-07-29
50,2021-07-28
32,2021-07-27
26,2021-07-26
27,2021-07-25
22,2021-07-24
23,2021-07-23
21,2021-07-22
10,2021-07-21
19,2021-07-20
24,2021-07-19
19,2021-07-18
15,2021-07-17
22,2021-07-16
20,2021-07-15
21,2021-07-14
20,2021-07-13
25,2021-07-12
20,2021-07-11
20,2021-07-10
20,2021-07-09
20,2021-07-08
28,2021-07-07
20,2021-07-06
29,2021-07-05
27,2021-07-04
24,2021-07-03
21,2021-07-02
28,2021-07-01
28,2021-06-30
25,2021-06-29
25,2021-06-28
22,2021-06-27
20,2021-06-26
27,2021-06-25
22,2021-06-24
14,2021-06-23
10,2021-06-22
23,2021-06-21
21,2021-06-20
23,2021-06-19
25,2021-06-18
26,2021-06-17
33,2021-06-16
38,2021-06-15
28,2021-06-14
23,2021-06-13
28,2021-06-12
21,2021-06-11
21,2021-06-10
14,2021-06-09
13,2021-06-08
15,2021-06-07
17,2021-06-06
24,2021-06-05
27,2021-06-04
24,2021-06-03
23,2021-06-02
20,2021-06-01
18,2021-05-31
10,2021-05-30
18,2021-05-29
21,2021-05-28
27,2021-05-27
22,2021-05-26
22,2021-05-25
10,2021-05-24
14,2021-05-23
12,2021-05-22
19,2021-05-21
11,2021-05-20
23,2021-05-19
21,2021-05-18
27,2021-05-17
20,2021-05-16
27,2021-05-15
26,2021-05-14
31,2021-05-13
68,2021-05-12
61,2021-05-11
72,2021-05-10
73,2021-05-09
67,2021-05-08
64,2021-05-07
65,2021-05-06
48,2021-05-05
68,2021-05-04
61,2021-05-03
66,2021-05-02
68,2021-05-01
51,2021-04-30
52,2021-04-29
59,2021-04-28
50,2021-04-27
27,2021-04-26
31,2021-04-25
37,2021-04-24
55,2021-04-23
65,2021-04-22
73,2021-04-21
73,2021-04-20
74,2021-04-19
79,2021-04-18
76,2021-04-17
78,2021-04-16
79,2021-04-15
75,2021-04-14
74,2021-04-13
74,2021-04-12
76,2021-04-11
70,2021-04-10
70,2021-04-09
73,2021-04-08
72,2021-04-07
75,2021-04-06
71,2021-04-05
74,2021-04-04
73,2021-04-03
74,2021-04-02
74,2021-04-01
76,2021-03-31
72,2021-03-30
72,2021-03-29
74,2021-03-28
65,2021-03-27
54,2021-03-26
60,2021-03-25
65,2021-03-24
66,2021-03-23
70,2021-03-22
73,2021-03-21
75,2021-03-20
71,2021-03-19
72,2021-03-18
71,2021-03-17
71,2021-03-16
76,2021-03-15
78,2021-03-14
74,2021-03-13
70,2021-03-12
73,2021-03-11
68,2021-03-10
81,2021-03-09
81,2021-03-08
